"","X","ward","area","name","mean_age","mean_rooms","mean_qual","pop_density"
"1",1,"E05000251",1.14681496592276,"Askew",50.0893361581921,0.975675189052935,2.0716803760282,"186.512118"
"2",2,"E05003736",22.9541386945461,"Wool",50.519209039548,0.832773607269854,1.79747832939322,"3.609666565"
"3",3,"E05003384",1.94906206984277,"Sandiacre South",49.7561657767607,0.602910737386805,1.99702774108322,"29.74362853"
"4",4,"W05000245",169.061383031708,"Dyffryn Ceiriog/Ceiriog Valley",48.7939421753098,1.49731433909388,2.27448609431681,"0.192089509"
"5",5,"E05001290",4.26090206305812,"Kingshurst and Fordbridge",49.3683757338552,1.55104599232155,1.63137685134394,"44.75389736"
"6",6,"E05003748",127.193413558896,"Chesil Bank",51.4899713467049,0.833253588516746,2.14442413162706,"0.269312635"
"7",7,"E05002034",4.6374380041169,"Weston-super-Mare Milton and Old Worle",48.8789538392757,0.603882300290893,2.24741659285503,"29.75984566"
"8",8,"E05002048",3.14102815442612,"Bradley Stoke South",48.903545640694,1.53695206218959,2.45003113325031,"45.27666634"
"9",9,"E05002074",16.7728342996396,"Winterbourne",48.9476694309408,1.1988990294075,2.25948757464843,"6.391417188"
"10",10,"E05008885",0.931382141130442,"Racecourse",49.805321219987,1.54534393251136,2.31295289855072,"48.49724626"
"11",11,"E05005544",32.3355522975103,"Fishtoft",49.86,0.888977635782748,1.82690992018244,"2.899251027"
"12",12,"E05007144",80.4165363614529,"Helmingham and Coddenham",50.4059405940594,0.643887214808437,1.82099125364431,"0.425635613"
"13",13,"W05000737",14.7695895798044,"New Tredegar",51.1331051147805,1.52650356778797,1.58438012015292,"5.150971382"
"14",14,"E05004841",2.04086019872185,"Leggatts",50.1397648316408,0.897566401510045,2.02135161606268,"55.23654882"
"15",15,"E05007853",63.4463463728357,"Lindridge",51.371546961326,0.850460829493088,2.29415204678363,"0.514850546"
"16",16,"E05006310",74.1324697448462,"Rillington",49.588066551922,0.832903040734366,1.80228136882129,"0.336209989"
"17",17,"E05003228",2.0907328741051,"Penrith South",48.6318108974359,1.22284836065574,1.84351949420443,"17.08652793"
"18",18,"E05002255",4.13289791014554,"Luton and Wayfield",50.0899923499548,0.908381623961461,2.01035592197869,"52.40733316"
"19",19,"E05004221",17.2503581080544,"Rochford",49.5996101364522,0.599071409887523,1.9402697495183,"6.710619261"
"20",20,"E05007874",4.65612051858959,"Greenlands",49.8889512058329,1.56295774647887,1.9686134929623,"28.73118695"
"21",21,"E05002772",4.44145464915871,"Huntingdon North",48.5865298840321,0.884655532359081,1.78975305792753,"22.43869892"
"22",22,"E05004373",2.65740995735472,"Podsmead",49.7134268537074,0.90055387713998,2.06460418562329,"17.11443924"
"23",23,"E05001003",12.6662794096042,"Central",50.0382819794585,0.890126110633419,1.7209504950495,"20.89636176"
"24",24,"E05000232",1.02995047088691,"Cazenove",50.1939964157706,1.65282447881641,1.99941390223889,"195.8467388"
"25",25,"E05004331",89.5174146717364,"Sandywell",50.1765992345544,0.656352683461117,2.60435699226985,"0.309451903"
"26",26,"E05007049",9.50336084827298,"Cheadle North East",50.7542134831461,1.22888440472759,2.18314061917195,"5.53430961"
"27",27,"E05000652",5.35926883270523,"Breightmet",49.6837455830389,1.56989849231229,1.7221150918502,"37.0550206"
"28",28,"E05005237",71.8522038294687,"Overton",49.4842584921292,1.23275136726967,1.93611111111111,"1.021798942"
"29",29,"W05000766",16.9361705513608,"Tredegar Central and West",51.0974764967838,0.870365710451267,1.95821727019499,"5.479934924"
"30",30,"E05007931",3.36901609147974,"Broadwaters",49.2673641749653,0.597924813927085,2.40137575236457,"35.31270866"
"31",31,"E05003117",52.3105590605144,"Broughton St Bridget's",50.4796553374821,0.871634615384615,2.19117647058824,"1.145822192"
"32",32,"E05004608",21.480027123679,"Ringwood South",49.7197684036394,1.17791462797368,1.69301712779974,"4.364431866"
"33",33,"E05001172",5.7672156824736,"Southwick",49.7079259610821,1.21550320789045,2.15919140871762,"27.04471941"
"34",34,"E05001099",3.97845763475254,"Kenton",49.8570443774235,0.613628494763265,1.8630974208532,"41.22118424"
"35",35,"E05004808",3.34242040198033,"Longmeadow",51.212013536379,1.20911869587366,1.90631410987007,"26.47019304"
"36",36,"E05002207",2.79076599584365,"Saints",50.5415102211097,0.963395856662934,2.37507266596907,"77.26857573"
"37",37,"W05000179",66.5084400866564,"Tremeirchion",51.2656155245603,0.659987669543773,2.30185758513932,"0.366935322"
"38",38,"W05000563",1.93167176935724,"Coedffranc Central",51.5413533834586,1.52903682719547,1.65501165501165,"32.4495771"
"39",39,"E05004747",22.0849361539393,"Aldenham West",49.6107465135357,0.621144909167723,2.52967400390081,"3.324424566"
"40",40,"E05005116",25.7512574139597,"Hildenborough",50.1473556721841,1.24530708018772,2.39132821075741,"2.914049081"
"41",41,"E05000605",1.97274903761694,"Leytonstone",49.8881124310894,0.586858846918489,1.72294887039239,"98.29796978"
"42",42,"E05004169",9.91007338963305,"North Weald Bassett",50.3086888541434,0.607690572846189,1.81761749926101,"6.770510397"
"43",43,"E05003416",1.9846949587104,"Whitfield",49.9367894497499,0.598794906775807,2.0048048048048,"16.20844697"
"44",44,"W05000268",2.55031773316399,"New Broughton",48.993909512761,1.23832656612529,1.82798716920609,"20.06167452"
"45",45,"E05008277",5.15634047258342,"Redruth South",50.0111272375423,1.2032967032967,1.97270955165692,"12.87850467"
"46",46,"E05003980",20.2318028293708,"St Marks",50.0821523472099,1.51138681169273,2.12827510917031,"3.558146864"
