"","ward","area","name"
"109","E05003243",9.66567239712517,"Grange North"
"110","E05004610",4.23009739229741,"Totton East"
"111","E05007551",2.93496211328414,"Manor"
"112","E05004628",2.75734673654485,"Abbey"
"113","E05001765",4.00414414695229,"Westfield"
"114","E05008635",4.54963955644913,"Macclesfield East"
"115","E05003583",51.3885857848656,"Thurlestone"
"116","E05008814",35.5216390964314,"Linton"
"117","E05000662",16.47755120364,"Hulton"
"118","E05004792",5.58210227521158,"Harpenden South"
"119","E05004554",2.24057453078288,"Fleet Courtmoor"
"120","E05000053",4.48956303054073,"Golders Green"
"121","E05006225",92.7006719128491,"Rudby"
"122","E05008302",135.730986217762,"St Teath"
"123","E05008192",177.280045705025,"The Meres"
"124","E05006767",33.4692068604196,"Creech"
"125","W05000170",7.4653350766643,"Rhyl East"
"126","E05000772",5.01857350165282,"Swinton North"
"127","E05001397",59.9078128388531,"Denby Dale"
"128","E05005699",43.6151868511369,"Dunholme"
"129","E05001248",4.95326429272433,"Kingswinford South"
"130","E05000840",19.6883136490604,"Abram"
"131","E05000658",4.58655978861296,"Harper Green"
"132","E05001704",94.2026051158057,"Pocklington Provincial"
"133","E05001660",1.34431316521115,"Tyldesley"
"134","E05005720",50.2545805150587,"Yarborough"
"135","E05007869",36.1941354141032,"Astwood Bank and Feckenham"
"136","E05005705",114.733881795414,"Kelsey"
"137","E05000731",61.1378870592495,"Saddleworth North"
"138","E05001883",1.56667439563988,"Arleston"
"139","E05005659",75.6944870731496,"Sutton Bridge"
"140","W05000211",1.39129758040971,"Holywell Central"
"141","E05008268",1.85721330888009,"Penzance East"
"142","E05000864",6.20157445028263,"Worsley Mesnes"
"143","E05008196",64.4015645336087,"Whitchurch South"
"144","E05000836",3.86344850856699,"Stretford"
"145","E05004079",17.9197316571494,"South Weald"
"146","W05000769",0.582465366286282,"Brynwern"
"147","E05004155",2.5671481092693,"Grange Hill"
"148","E05000163",4.23525236529948,"Shirley"
"149","E05002323",2.31018513982903,"Katesgrove"
"150","E05000140",1.03436568523672,"Kilburn"
"151","E05006964",23.2116909489464,"Audley and Bignall End"
"152","E05001691",14.3250385060786,"Cottingham North"
"153","E05000690",7.37138000338034,"Bradford"
"154","E05001610",24.7630983350216,"Lymm"
"155","E05000531",2.96888048745098,"Twickenham Riverside"
"156","E05002611",93.8767257449117,"Luffield Abbey"
"157","W05000776",11.8828194224963,"Llantarnam"
"158","E05007998",4.64949877562158,"Peterlee East"
"159","E05008846",1.88768032066297,"St David's"
"160","E05004015",2.09029012158276,"Uckfield Central"
"161","E05008936",52.67819592619,"Dinnington"
"162","E05005762",28.8555481512067,"Buxton"
"163","E05004101",13.388180040084,"Galleywood"
